Name,Position,PositionDB,DOB,College,Draft Team,Draft Round,Pick Number,Draft Year
Jovan Belcher, Linebacker,LB,1987-07-24,Maine,,,,
Jovan Haye, Defensive End,DL,1982-06-21,Vanderbilt,Panthers,6,189,2005
Jude Adjei-Barimah, Defensive Back,DB,1992-06-30,Bowling Green,,,,
Julian Edelman, Wide Receiver,WR,1986-05-22,Kent State,Patriots,7,232,2009
Julian Peterson, Linebacker,LB,1978-07-28,Michigan State,49ers,1,16,2000
Julian Posey, Defensive Back,DB,1988-07-17,Ohio,,,,
Julian Stanford, Linebacker,LB,1990-09-02,Wagner,,,,
Julian Talley, Wide Receiver,WR,1989-06-09,Massachusetts,,,,
Julio Jones, Wide Receiver,WR,1989-02-08,Alabama,Falcons,1,6,2011
Julius Jones, Running Back,RB,1981-08-14,Notre Dame,Cowboys,2,43,2004
Julius Peppers, Defensive End,DL,1980-01-18,North Carolina,Panthers,1,2,2002
Julius Pruitt, Wide Receiver,WR,1985-12-30,Ouachita Baptist,,,,
Julius Thomas, Tight End,TE,1988-06-27,Portland State,Broncos,4,129,2011
Julius Williams, Defensive End,DL,1986-07-19,Connecticut,,,,
Jumal Rolle, Defensive Back,DB,1990-05-28,Catawba,,,,
Junior Galette, Defensive End,DL,1988-03-27,Stillman,,,,
Junior Hemingway, Wide Receiver,WR,1988-12-27,Michigan,Chiefs,7,238,2012
Junior Seau, Linebacker,LB,1969-01-19,Southern California,Chargers,1,5,
Junior Siavii, Defensive Tackle,DL,1979-11-14,Oregon,Chiefs,2,36,2004
Juqua Parker, Defensive End,DL,1978-05-15,Oklahoma State,,,,
Juron Criner, Wide Receiver,WR,1989-12-12,Arizona,Raiders,5,168,2012
Jurrell Casey, Defensive Tackle,DL,1989-12-05,Southern California,Titans,3,77,2011
Justice Cunningham, Tight End,TE,1991-01-14,South Carolina,Colts,7,254,2013
Justin Bannan, Defensive Tackle,DL,1979-04-18,Colorado,Bills,5,139,2002
Justin Bethel, Defensive Back,DB,1990-06-17,Presbyterian,Cardinals,6,177,2012
Justin Blackmon, Wide Receiver,WR,1990-01-09,Oklahoma State,Jaguars,1,5,2012
Justin Blalock, Offensive Tackle,OL,1983-12-30,Texas,Falcons,2,39,2007
Justin Britt, Offensive Tackle,OL,1991-05-29,Missouri,Seahawks,2,64,2014
Justin Cole, Linebacker,LB,1987-11-22,San Jose State,,,,
Justin Coleman, Defensive Back,DB,1993-03-27,Tennessee,,,,
Justin Drescher, Center,OL,1988-01-01,Colorado,,,,
Justin Durant, Linebacker,LB,1985-09-21,Hampton,Jaguars,2,48,2007
Justin Ellis, Defensive Tackle,DL,1990-12-27,Louisiana Tech,Raiders,4,107,2014
Justin Fargas, Running Back,RB,1980-01-25,Southern California,Raiders,3,96,2003
Justin Forsett, Running Back,RB,1985-10-14,California,Seahawks,7,233,2008
Justin Francis, Defensive End,DL,1989-02-09,Rutgers,,,,
Justin Gage, Wide Receiver,WR,1981-01-25,Missouri,Bears,5,143,2003
Justin Gilbert, Defensive Back,DB,1991-11-07,Oklahoma State,Browns,1,8,2014
Justin Griffith, Running Back,RB,1980-07-21,Mississippi State,Falcons,4,121,2003
Justin Hardy, Wide Receiver,WR,1991-12-18,East Carolina,Falcons,4,107,2015
Justin Harper, Wide Receiver,WR,1985-02-24,Virginia Tech,Ravens,7,215,2008
Justin Hartwig, Offensive Guard,OL,1978-11-21,Kansas,Titans,6,187,2002
Justin Hickman, Defensive End,DL,1985-07-20,UCLA,,,,
Justin Houston, Defensive End,DL,1989-01-12,Georgia,Chiefs,3,70,2011
Justin Hunter, Wide Receiver,WR,1991-05-20,Tennessee,Titans,2,34,2013
Justin Jenkins, Wide Receiver,WR,1980-12-10,Mississippi State,,,,
Justin King, Defensive Back,DB,1987-05-11,Penn State,Rams,4,101,2008
Justin Medlock, Kicker,K,1983-10-23,UCLA,Chiefs,5,160,2007
Justin Miller, Defensive Back,DB,1984-02-14,Clemson,Jets,2,57,2005
Justin Peelle, Tight End,TE,1979-03-15,Oregon,Chargers,4,103,2002
Justin Perillo, Tight End,TE,1991-01-05,Maine,,,,
Justin Pugh, Offensive Guard,OL,1990-08-15,Syracuse,Giants,1,19,2013
Justin Snow, Tight End,TE,1976-12-21,Baylor,,,,
Justin Staples, Defensive End,DL,1989-12-10,Illinois,,,,
Justin Trattou, Defensive End,DL,1988-08-28,Florida,,,,
Justin Tryon, Defensive Back,DB,1984-04-18,Arizona State,Redskins,4,124,2008
Justin Tuck, Defensive End,DL,1983-03-29,Notre Dame,Giants,3,74,2005
Justin Tucker, Kicker,K,1989-11-21,Texas,,,,
Justin Tuggle, Linebacker,LB,1990-01-04,Kansas State,,,,
Justin Veltung, Wide Receiver,WR,1991-03-30,Idaho,,,,
Juwan Thompson, Running Back,RB,1992-05-13,Duke,,,,
Jyles Tucker, Linebacker,LB,1983-09-18,Wake Forest,,,,
K.C. Asiodu, Linebacker,LB,1986-11-24,Central Oklahoma,,,,
K.J. Wright, Linebacker,LB,1989-07-23,Mississippi State,Seahawks,4,99,2011
K'Waun Williams, Defensive Back,DB,1991-07-12,Pittsburgh,,,,
Ka'Deem Carey, Running Back,RB,1992-10-30,Arizona,Bears,4,117,2014
Kaelin Burnett, Linebacker,LB,1989-09-06,Nevada,,,,
Kaelin Clay, Wide Receiver,WR,1992-01-03,Utah,Buccaneers,6,184,2015
Kahlil Bell, Running Back,RB,1986-12-10,UCLA,,,,
Kai Forbath, Kicker,K,1987-09-02,UCLA,,,,
Kaluka Maiava, Linebacker,LB,1987-03-22,Southern California,Browns,4,104,2009
Kalvin Pearson, Defensive Back,DB,1978-10-22,Grambling,,,,
Kam Chancellor, Defensive Back,DB,1988-04-03,Virginia Tech,Seahawks,5,133,2010
Kamar Aiken, Wide Receiver,WR,1989-05-30,Central Florida,,,,
Kamerion Wimbley, Defensive End,DL,1983-10-13,Florida State,Browns,1,13,2006
Kanorris Davis, Defensive Back,DB,1990-01-21,Troy State,,,,
Kapri Bibbs, Running Back,RB,1993-01-10,Colorado State,,,,
Kapron Lewis-Moore, Defensive End,DL,1990-01-24,Notre Dame,Ravens,6,200,2013
Kareem Huggins, Running Back,RB,1986-05-24,Hofstra,,,,
Kareem Jackson, Defensive Back,DB,1988-04-10,Alabama,Texans,1,20,2010
Kareem Martin, Defensive End,DL,1992-02-19,North Carolina,Cardinals,3,84,2014
Kareem McKenzie, Offensive Tackle,OL,1979-05-24,Penn State,Jets,3,79,2001
Kareem Moore, Defensive Back,DB,1984-08-13,Nicholls State,Redskins,6,180,2008
Karl Klug, Defensive End,DL,1988-03-31,Iowa,Titans,5,142,2011
Karl Paymah, Defensive Back,DB,1982-11-29,Washington State,Broncos,3,76,2005
Karlos Dansby, Linebacker,LB,1981-11-03,Auburn,Cardinals,2,33,2004
Karlos Williams, Running Back,RB,1993-05-04,Florida State,Bills,5,155,2015
Kasen Williams, Wide Receiver,WR,1992-05-20,Washington,,,,
Kasey Studdard, Offensive Guard,OL,1984-07-01,Texas,Texans,6,183,2007
Kasim Edebali, Linebacker,LB,1989-08-17,Boston College,,,,
Kassim Osgood, Wide Receiver,WR,1980-05-20,San Diego State,,,,
Kavell Conner, Linebacker,LB,1987-02-23,Clemson,Colts,7,240,2010
Kawann Short, Defensive Tackle,DL,1989-02-02,Purdue,Panthers,2,44,2013
Kawika Mitchell, Linebacker,LB,1979-10-10,South Florida,Chiefs,2,47,2003
Kayvon Webster, Defensive Back,DB,1991-02-01,South Florida,Broncos,3,90,2013
Kealoha Pilares, Wide Receiver,WR,1988-02-20,Hawaii,Panthers,5,132,2011
Keary Colbert, Wide Receiver,WR,1982-05-21,Southern California,Panthers,2,62,2004
Keaton Kristick, Linebacker,LB,1988-04-25,Oregon State,,,,
Kedric Golston, Defensive Tackle,DL,1983-05-30,Georgia,Redskins,6,196,2006
Keelan Johnson, Defensive Back,DB,1989-09-26,Arizona State,,,,
Keenan Allen, Wide Receiver,WR,1992-04-27,California,Chargers,3,76,2013
Keenan Burton, Wide Receiver,WR,1986-08-10,Kentucky,Rams,4,128,2008
Keenan Clayton, Linebacker,LB,1987-06-19,Oklahoma,Eagles,4,121,2010
Keenan Lambert, Defensive Back,DB,1992-02-28,Norfolk State,,,,
Keenan Lewis, Defensive Back,DB,1986-05-17,Oregon State,Steelers,3,96,2009
Keenan Robinson, Linebacker,LB,1989-07-07,Texas,Redskins,4,119,2012
Keiland Williams, Running Back,RB,1986-08-14,Louisiana State,,,,
Keilen Dykes, Defensive Tackle,DL,1984-09-06,West Virginia,,,,
Keith Brooking, Linebacker,LB,1975-10-30,Georgia Tech,Falcons,1,12,
Keith Bulluck, Linebacker,LB,1977-04-04,Syracuse,Titans,1,30,2000
Keith Ellison, Linebacker,LB,1984-02-06,Oregon State,Bills,6,178,2006
Keith McGill, Defensive Back,DB,1989-03-09,Utah,Raiders,4,116,2014
Keith Mumphery, Wide Receiver,WR,1992-06-05,Michigan State,Texans,5,175,2015
Keith Null, Quarterback,QB,1985-09-24,West Texas A&M,Rams,6,196,2009
Keith Reaser, Defensive Back,DB,1991-07-31,Florida Atlantic,49ers,5,170,2014
Keith Rivers, Linebacker,LB,1986-05-05,Southern California,Bengals,1,9,2008
Keith Tandy, Defensive Back,DB,1989-02-12,West Virginia,Buccaneers,6,174,2012
Keith Toston, Running Back,RB,1987-05-06,Oklahoma State,,,,
Keith Zinger, Tight End,TE,1984-10-09,Louisiana State,Falcons,7,232,2008
Keiwan Ratliff, Defensive Back,DB,1981-04-19,Florida,Bengals,2,49,2004
Kelcie McCray, Defensive Back,DB,1988-09-21,Arkansas State,,,,
Kelcy Quarles, Defensive Tackle,DL,1992-01-23,South Carolina,,,,
Kellen Clemens, Quarterback,QB,1983-06-06,Oregon,Jets,2,49,2006
Kellen Davis, Tight End,TE,1985-10-11,Michigan State,Bears,5,158,2008
Kellen Heard, Defensive Tackle,DL,1985-10-17,Memphis,,,,
Kellen Moore, Quarterback,QB,1989-07-12,Boise State,,,,
Kelley Washington, Wide Receiver,WR,1979-08-21,Tennessee,Bengals,3,65,2003
Kelly Gregg, Defensive Tackle,DL,1976-11-01,Oklahoma,Bengals,6,173,
Kelly Jennings, Defensive Back,DB,1982-11-30,Miami,Seahawks,1,31,2006
Kelly Talavou, Defensive Tackle,DL,1984-10-04,Utah,,,,
Kelvin Beachum, Offensive Guard,OL,1989-06-08,Southern Methodist,Steelers,7,248,2012
Kelvin Benjamin, Wide Receiver,WR,1991-02-05,Florida State,Panthers,1,28,2014
Kelvin Hayden, Defensive Back,DB,1983-07-23,Illinois,Colts,2,60,2005
Kelvin Sheppard, Linebacker,LB,1988-01-02,Louisiana State,Bills,3,68,2011
Kemal Ishmael, Defensive Back,DB,1991-05-06,Central Florida,Falcons,7,243,2013
Ken Amato, Center,OL,1977-05-18,Montana State,,,,
Ken Bishop, Defensive Tackle,DL,1990-09-08,Northern Illinois,Cowboys,7,251,2014
Ken Hamlin, Defensive Back,DB,1981-01-20,Arkansas,Seahawks,2,42,2003
Ken Lucas, Defensive Back,DB,1979-01-23,Mississippi,Seahawks,2,40,2001
Kenbrell Thompkins, Wide Receiver,WR,1988-07-29,Cincinnati,,,,
Kendall Gaskins, Running Back,RB,1990-11-04,Richmond,,,,
Kendall Hunter, Running Back,RB,1988-09-16,Oklahoma State,49ers,4,115,2011
Kendall Lamm, Offensive Tackle,OL,1992-06-05,Appalachian State,,,,
Kendall Langford, Defensive End,DL,1986-01-27,Hampton,Dolphins,3,66,2008
Kendall Reyes, Defensive Tackle,DL,1989-09-26,Connecticut,Chargers,2,49,2012
Kendall Wright, Wide Receiver,WR,1989-11-12,Baylor,Titans,1,20,2012
Kendrick Clancy, Defensive Tackle,DL,1978-09-17,Mississippi,Steelers,3,72,2000
Kendrick Lewis, Defensive Back,DB,1988-06-16,Mississippi,Chiefs,5,136,2010
Kenjon Barner, Running Back,RB,1990-04-28,Oregon,Panthers,6,182,2013
Kennard Cox, Defensive Back,DB,1985-08-17,Pittsburgh,Bills,7,251,2008
Kenneth Acker, Defensive Back,DB,1992-02-06,Southern Methodist,49ers,6,180,2014
Kenneth Boatright, Defensive End,DL,1990-03-06,Southern Illinois,,,,
Kenneth Darby, Running Back,RB,1982-12-26,Alabama,Buccaneers,7,246,2007
Kenny Anunike, Defensive End,DL,1990-05-22,Duke,,,,
Kenny Britt, Wide Receiver,WR,1988-09-18,Rutgers,Titans,1,30,2009
Kenny Demens, Linebacker,LB,1990-02-04,Michigan,,,,
Kenny Iwebema, Defensive End,DL,1985-02-06,Iowa,Cardinals,4,116,2008
Kenny Ladler, Defensive Back,DB,1992-06-23,Vanderbilt,,,,
Kenny McKinley, Wide Receiver,WR,1987-01-31,South Carolina,Broncos,5,141,2009
Kenny Okoro, Defensive Back,DB,1989-10-18,Wake Forest,,,,
Kenny Onatolu, Linebacker,LB,1982-10-08,Nebraska-Omaha,,,,
Kenny Peterson, Defensive End,DL,1978-11-21,Ohio State,Packers,3,79,2003
Kenny Phillips, Defensive Back,DB,1986-11-24,Miami,Giants,1,31,2008
Kenny Smith, Defensive Tackle,DL,1977-09-08,Alabama,Saints,3,81,2001
Kenny Stills, Wide Receiver,WR,1992-04-22,Oklahoma,Saints,5,144,2013
Kenny Vaccaro, Defensive Back,DB,1991-02-15,Texas,Saints,1,15,2013
Kenrick Ellis, Defensive Tackle,DL,1987-12-10,Hampton,Jets,3,94,2011
Kentwan Balmer, Defensive Tackle,DL,1986-10-15,North Carolina,49ers,1,29,2008
Kenyon Coleman, Defensive End,DL,1979-04-10,UCLA,Raiders,5,147,2002
Kerry Collins, Quarterback,QB,1972-12-30,Penn State,Panthers,1,5,
Kerry Meier, Wide Receiver,WR,1986-11-12,Kansas,Falcons,5,165,2010
Kerry Rhodes, Defensive Back,DB,1982-08-02,Louisville,Jets,4,123,2005
Kerry Taylor, Wide Receiver,WR,1989-02-20,Arizona State,,,,
Kerry Wynn, Defensive End,DL,1991-02-12,Richmond,,,,
Kerwynn Williams, Running Back,RB,1991-06-09,Utah State,Colts,7,230,2013
Keshawn Martin, Wide Receiver,WR,1990-03-15,Michigan State,Texans,4,121,2012
Kevin Barnes, Defensive Back,DB,1986-09-15,Maryland,Redskins,3,80,2009
Kevin Bentley, Linebacker,LB,1979-12-29,Northwestern,Browns,4,101,2002
Kevin Boothe, Offensive Guard,OL,1983-07-05,Cornell,Raiders,6,176,2006
Kevin Boss, Tight End,TE,1984-01-11,Western Oregon,Giants,5,153,2007
Kevin Brock, Tight End,TE,1986-04-09,Rutgers,,,,
Kevin Burnett, Linebacker,LB,1982-12-24,Tennessee,Cowboys,2,42,2005
Kevin Cone, Wide Receiver,WR,1988-03-20,Georgia Tech,,,,
Kevin Dockery, Defensive Back,DB,1984-01-08,Mississippi State,,,,
Kevin Dorsey, Wide Receiver,WR,1990-02-23,Maryland,Packers,7,224,2013
Kevin Elliott, Wide Receiver,WR,1988-12-21,Florida A&M,,,,
Kevin Ellison, Defensive Back,DB,1987-01-08,Southern California,Chargers,6,189,2009
Kevin Faulk, Running Back,RB,1976-06-05,Louisiana State,Patriots,2,46,
Kevin Hobbs, Defensive Back,DB,1983-04-30,Auburn,,,,
Kevin Houser, Center,OL,1977-08-23,Ohio State,Saints,7,228,2000
Kevin Huber, Punter,P,1985-07-16,Cincinnati,Bengals,5,142,2009
Kevin Kaesviharn, Defensive Back,DB,1976-08-29,Augustana (SD),,,,
Kevin Kolb, Quarterback,QB,1984-08-24,Houston,Eagles,2,36,2007
Kevin Mawae, Center,OL,1971-01-23,Louisiana State,Seahawks,2,36,
Kevin Minter, Linebacker,LB,1990-12-03,Louisiana State,Cardinals,2,45,2013
Kevin Norwood, Wide Receiver,WR,1989-09-23,Alabama,Seahawks,4,123,2014
Kevin Ogletree, Wide Receiver,WR,1987-08-05,Virginia,,,,
Kevin Payne, Defensive Back,DB,1983-12-05,Louisiana-Monroe,Bears,5,167,2007
Kevin Pierre-Louis, Linebacker,LB,1991-10-07,Boston College,Seahawks,4,132,2014
Kevin Reddick, Linebacker,LB,1989-12-28,North Carolina,,,,
Kevin Rutland, Defensive Back,DB,1988-04-02,Missouri,,,,
Kevin Vickerson, Defensive Tackle,DL,1983-01-08,Michigan State,Dolphins,7,216,2005
Kevin Walter, Wide Receiver,WR,1981-08-04,Eastern Michigan,Giants,7,255,2003
Kevin Zeitler, Offensive Guard,OL,1990-03-08,Wisconsin,Bengals,1,27,2012
Keyaron Fox, Linebacker,LB,1982-01-24,Georgia Tech,Chiefs,3,93,2004
Keydrick Vincent, Offensive Guard,OL,1978-04-13,Mississippi,,,,
Keyunta Dawson, Defensive End,DL,1985-09-13,Texas Tech,Colts,7,242,2007
Khairi Fortt, Linebacker,LB,1992-03-24,California,Saints,4,126,2014
Khaled Holmes, Center,OL,1990-01-19,Southern California,Colts,4,121,2013
Khalif Barnes, Offensive Tackle,OL,1982-04-21,Washington,Jaguars,2,52,2005
Khalil Mack, Linebacker,LB,1991-02-22,Buffalo,Raiders,1,5,2014
Khari Lee, Tight End,TE,1992-01-16,Bowie State,,,,
Khary Campbell, Linebacker,LB,1979-04-04,Bowling Green,,,,
Khaseem Greene, Linebacker,LB,1989-02-04,Rutgers,Bears,4,117,2013
Kheeston Randall, Defensive Tackle,DL,1990-05-07,Texas,Dolphins,7,215,2012
Khiry Robinson, Running Back,RB,1989-12-28,West Texas A&M,,,,
Khyri Thornton, Defensive Tackle,DL,1989-11-21,Southern Mississippi,Packers,3,85,2014
Kiante Tripp, Defensive Tackle,DL,1987-10-07,Georgia,,,,
Kiko Alonso, Linebacker,LB,1990-08-14,Oregon,Bills,2,46,2013
King Dunlap, Offensive Tackle,OL,1985-09-14,Auburn,Eagles,7,230,2008
Kion Wilson, Linebacker,LB,1986-10-24,South Florida,,,,
Kirk Chambers, Offensive Tackle,OL,1979-03-19,Stanford,Browns,6,176,2004
Kirk Cousins, Quarterback,QB,1988-08-19,Michigan State,Redskins,4,102,2012
Kirk Morrison, Linebacker,LB,1982-02-19,San Diego State,Raiders,3,78,2005
Knile Davis, Running Back,RB,1991-10-05,Arkansas,Chiefs,3,96,2013
Knowshon Moreno, Running Back,RB,1987-07-16,Georgia,Broncos,1,12,2009
Ko Simpson, Defensive Back,DB,1983-11-09,South Carolina,Bills,4,105,2006
Koa Misi, Defensive End,DL,1987-01-17,Utah,Dolphins,2,40,2010
Kolby Smith, Running Back,RB,1984-12-15,Louisville,Chiefs,5,148,2007
Konrad Reuland, Tight End,TE,1987-04-04,Stanford,,,,
Kony Ealy, Defensive End,DL,1991-12-21,Missouri,Panthers,2,60,2014
Korey Hall, Linebacker,LB,1983-08-05,Boise State,Packers,6,191,2007
Korey Toomer, Linebacker,LB,1988-12-09,Idaho,Seahawks,5,154,2012
Kory Lichtensteiger, Center,OL,1985-03-22,Bowling Green,Broncos,4,108,2008
Kory Sheets, Running Back,RB,1985-03-31,Purdue,,,,
Kory Sperry, Tight End,TE,1985-04-10,Colorado State,,,,
Kourtnei Brown, Linebacker,LB,1988-04-17,Clemson,,,,
Kraig Urbik, Offensive Guard,OL,1985-09-23,Wisconsin,Steelers,3,79,2009
Kregg Lumpkin, Running Back,RB,1984-05-15,Georgia,,,,
Kris Adams, Wide Receiver,WR,1987-09-04,Texas-El Paso,,,,
Kris Brown, Kicker,K,1976-12-23,Nebraska,Steelers,7,228,
Kris Dielman, Offensive Guard,OL,1981-02-03,Indiana,,,,
Kris Durham, Wide Receiver,WR,1988-03-17,Georgia,Seahawks,4,107,2011
Kris Jenkins, Defensive Tackle,DL,1979-08-03,Maryland,Panthers,2,44,2001
Kris Wilson, Tight End,TE,1981-08-22,Pittsburgh,Chiefs,2,61,2004
Kroy Biermann, Linebacker,LB,1985-09-12,Montana,Falcons,5,154,2008
Kurt Coleman, Defensive Back,DB,1988-04-01,Ohio State,Eagles,7,244,2010
Kurt Warner, Quarterback,QB,1971-06-22,Northern Iowa,,,,
Kurtis Drummond, Defensive Back,DB,1992-01-29,Michigan State,,,,
Kwame Geathers, Defensive End,DL,1990-10-04,Georgia,,,,
Kwon Alexander, Linebacker,LB,1994-08-03,Louisiana State,Buccaneers,4,124,2015
Kyle Adams, Tight End,TE,1988-01-19,Purdue,,,,
Kyle Arrington, Defensive Back,DB,1986-08-12,Hofstra,,,,
Kyle Boller, Quarterback,QB,1981-06-17,California,Ravens,1,19,2003
Kyle Bosworth, Linebacker,LB,1986-11-21,UCLA,,,,
Kyle Brindza, Kicker,K,1993-01-13,Notre Dame,,,,
Kyle Cook, Center,OL,1983-07-25,Michigan State,,,,
Kyle DeVan, Offensive Line,OL,1985-02-10,Oregon State,,,,
Kyle Eckel, Running Back,RB,1981-12-30,Navy,,,,
Kyle Emanuel, Linebacker,LB,1991-08-16,North Dakota State,Chargers,5,153,2015
Kyle Fuller, Defensive Back,DB,1992-02-06,Virginia Tech,Bears,1,14,2014
Kyle Juszczyk, Running Back,RB,1991-04-23,Harvard,Ravens,4,130,2013
Kyle Knox, Linebacker,LB,1989-03-10,Fresno State,,,,
Kyle Kosier, Offensive Tackle,OL,1978-01-27,Arizona State,49ers,7,248,2002
Kyle Long, Offensive Guard,OL,1988-12-05,Oregon,Bears,1,20,2013
Kyle Love, Defensive Tackle,DL,1986-11-18,Mississippi State,,,,
Kyle McCarthy, Defensive Back,DB,1986-09-30,Notre Dame,,,,
Kyle Moore, Defensive End,DL,1986-10-25,Southern California,Buccaneers,4,117,2009
Kyle Nelson, Long Snapper,OL,1986-10-03,New Mexico State,,,,
Kyle Orton, Quarterback,QB,1982-11-14,Purdue,Bears,4,106,2005
Kyle Rudolph, Tight End,TE,1989-11-09,Notre Dame,Vikings,2,43,2011
Kyle Van Noy, Linebacker,LB,1990-06-19,Brigham Young,Lions,2,40,2014
Kyle Vanden Bosch, Defensive End,DL,1978-11-17,Nebraska,Cardinals,2,34,2001
Kyle Wilber, Linebacker,LB,1989-04-26,Wake Forest,Cowboys,4,113,2012
Kyle Wilson, Defensive Back,DB,1987-09-08,Boise State,Jets,1,29,2010
Kyries Hebert, Linebacker,LB,1980-10-09,Louisiana-Lafayette,,,,
Kyshoen Jarrett, Defensive Back,DB,1993-05-04,Virginia Tech,Redskins,6,181,2015
L.J. Fort, Linebacker,LB,1990-01-03,Northern Iowa,,,,
L.J. McCray, Defensive Back,DB,1991-06-18,Catawba,,,,
L.J. Smith, Tight End,TE,1980-05-13,Rutgers,Eagles,2,61,2003
L.P. Ladouceur, Long Snapper,OL,1981-03-13,California,,,,
LaAdrian Waddle, Offensive Tackle,OL,1991-07-21,Texas Tech,,,,
LaDainian Tomlinson, Running Back,RB,1979-06-23,Texas Christian,Chargers,1,5,2001
Ladarius Green, Tight End,TE,1990-05-29,Louisiana-Lafayette,Chargers,4,110,2012
Ladell Betts, Running Back,RB,1979-08-27,Iowa,Redskins,2,56,2002
LaJuan Ramsey, Defensive Tackle,DL,1984-03-19,Southern California,Eagles,6,204,2006
Lamaar Thomas, Wide Receiver,WR,1990-04-23,New Mexico,,,,
Lamar Holmes, Offensive Tackle,OL,1989-07-08,Southern Mississippi,Falcons,3,91,2012
Lamar Mady, Offensive Guard,OL,1990-12-13,Youngstown State,,,,
Lamar Miller, Running Back,RB,1991-04-25,Miami,Dolphins,4,97,2012
Lamarcus Joyner, Defensive Back,DB,1990-11-27,Florida State,Rams,2,41,2014
Lamarr Houston, Defensive Tackle,DL,1987-06-24,Texas,Raiders,2,44,2010
LaMarr Woodley, Defensive End,DL,1984-11-03,Michigan,Steelers,2,46,2007
LaMichael James, Running Back,RB,1992-10-22,Oregon,49ers,2,61,2012
Lamin Barrow, Linebacker,LB,1990-11-29,Louisiana State,Broncos,5,156,2014
LaMont Jordan, Running Back,RB,1978-11-11,Maryland,Jets,2,49,2001
Lance Ball, Running Back,RB,1985-06-19,Maryland,,,,
Lance Briggs, Linebacker,LB,1980-11-12,Arizona,Bears,3,68,2003
Lance Dunbar, Running Back,RB,1990-01-25,North Texas,,,,
Lance Kendricks, Tight End,TE,1988-01-30,Wisconsin,Rams,2,47,2011
Lance Laury, Linebacker,LB,1982-01-17,South Carolina,,,,
Lance Long, Wide Receiver,WR,1985-05-04,Mississippi State,,,,
Lance Louis, Offensive Guard,OL,1985-04-24,San Diego State,Bears,7,246,2009
Lance Moore, Wide Receiver,WR,1983-08-31,Toledo,,,,
Landon Cohen, Defensive Tackle,DL,1986-08-03,Ohio,Lions,7,216,2008
Landon Collins, Defensive Back,DB,1994-01-10,Alabama,Giants,2,33,2015
Landon Johnson, Linebacker,LB,1981-03-13,Purdue,Bengals,3,96,2004
Landry Jones, Quarterback,QB,1989-04-04,Oklahoma,Steelers,4,115,2013
Lane Johnson, Offensive Tackle,OL,1990-05-08,Oklahoma,Eagles,1,4,2013
LaQuan Williams, Wide Receiver,WR,1988-06-27,Maryland,,,,
Lardarius Webb, Defensive Back,DB,1985-10-12,Nicholls State,Ravens,3,88,2009
LaRod Stephens-Howling, Running Back,RB,1987-04-26,Pittsburgh,Cardinals,7,240,2009
LaRon Byrd, Wide Receiver,WR,1989-08-18,Miami,,,,
LaRon Landry, Defensive Back,DB,1984-10-14,Louisiana State,Redskins,1,6,2007
LaRoy Reynolds, Linebacker,LB,1990-11-03,Virginia,,,,
Larry Asante, Defensive Back,DB,1988-03-07,Nebraska,Browns,5,160,2010
Larry Dean, Linebacker,LB,1988-08-07,Valdosta State,,,,
Larry Donnell, Tight End,TE,1988-11-01,Grambling,,,,
Larry English, Defensive End,DL,1986-01-22,Northern Illinois,Chargers,1,16,2009
Larry Fitzgerald, Wide Receiver,WR,1983-08-31,Pittsburgh,Cardinals,1,3,2004
Larry Foote, Linebacker,LB,1980-06-12,Michigan,Steelers,4,128,2002
Larry Grant, Linebacker,LB,1985-02-16,Ohio State,49ers,7,214,2008
Larry Hart, Defensive End,DL,1987-07-16,Central Arkansas,Jaguars,5,143,2010
Larry Izzo, Linebacker,LB,1974-09-26,Rice,,,,
Larry Warford, Offensive Guard,OL,1991-06-18,Kentucky,Lions,3,65,2013
Latavius Murray, Running Back,RB,1990-01-18,Central Florida,Raiders,6,181,2013
Laurence Maroney, Running Back,RB,1985-02-05,Minnesota,Patriots,1,21,2006
Laurent Robinson, Wide Receiver,WR,1985-05-20,Illinois State,Falcons,3,75,2007
Lavar Edwards, Defensive End,DL,1990-04-29,Louisiana State,Titans,5,142,2013
Lavelle Hawkins, Wide Receiver,WR,1984-06-16,California,Titans,4,126,2008
Laveranues Coles, Wide Receiver,WR,1977-12-29,Florida State,Jets,3,78,2000
LaVon Brazill, Wide Receiver,WR,1989-03-15,Ohio,Colts,6,206,2012
Lavonte David, Linebacker,LB,1990-01-23,Nebraska,Buccaneers,2,58,2012
Lawrence Guy, Defensive Tackle,DL,1990-03-17,Arizona State,Packers,7,233,2011
Lawrence Sidbury, Defensive End,DL,1986-02-06,Richmond,Falcons,4,125,2009
Lawrence Timmons, Linebacker,LB,1986-05-14,Florida State,Steelers,1,15,2007
Lawrence Tynes, Kicker,K,1978-05-03,Troy State,,,,
Lawrence Vickers, Running Back,RB,1983-05-08,Colorado,Browns,6,180,2006
Lawrence Virgil, Defensive End,DL,1991-01-20,Valdosta State,,,,
Lawyer Milloy, Defensive Back,DB,1973-11-14,Washington,Patriots,2,36,
Lazarius Levingston, Defensive End,DL,1987-11-16,Louisiana State,Seahawks,7,205,2011
Le'Ron McClain, Running Back,RB,1984-12-27,Alabama,Ravens,4,137,2007
Le'Veon Bell, Running Back,RB,1992-02-18,Michigan State,Steelers,2,48,2013
Lee Evans, Wide Receiver,WR,1981-03-11,Wisconsin,Bills,1,13,2004
Lee Robinson, Linebacker,LB,1987-04-23,Alcorn State,,,,
Lee Smith, Tight End,TE,1987-11-21,Marshall,Patriots,5,159,2011
